country,total_infections,max_infections,lat,long,stringency_index,population,median_age,total_tests,government_effectiveness,law_enforcement_ability,corruption_level,human_freedom,iso_a3,gov_healthexp_pct_gdp,gov_healthexp_per_capita
United Kingdom,16476.70828677796,1465.441827182923,32.3078,-64.7505,71.43,67886011,40,5876.262194872519,1.34,1.64,1.83,8.55,GBR,7.8318788,3175.334765
Uruguay,2648.1620621061506,142.21024662250665,-32.5228,-55.7658,80.95,3473730,36,3007.7179285666994,0.56,0.6,1.27,7.93,URY,6.49598543,988.7257085000001
US,22725.688079156804,1922.4921555084463,37.0902,-95.7129,66.67,331002651,38,9864.479907141287,1.58,1.45,1.32,8.39,USA,13.97379764,8077.925836
Venezuela,134.40737320447292,6.927852569670636,6.4238,-66.5897,85.71,28435940,30,7912.8384713148225,-1.58,-2.34,-1.47,5.27,VEN,0.77412866,nan
Vietnam,68.56479793073618,2.7430028539865985,16.0,108.0,100.0,97338579,32,1396.5480223416862,0.0,0.0,-0.49,6.31,VNM,2.6842476000000004,58.26556802
Zambia,43.67939325351917,2.6109724485291657,-15.4167,28.2833,33.33,18383955,18,92.25435984803053,-0.56,-0.34,-0.66,6.67,ZMB,1.7143074,21.65057408
Zimbabwe,16.0129998646296,1.5474747768339527,-20.0,30.0,100.0,14862924,19,48.17356261796131,-1.2,-1.27,-1.24,4.96,ZWE,4.37772571,43.68682584
Dominica,4153.585419387103,222.2654405023199,15.415,-61.371,,71986,34.0,4792.598560831272,-0.29,0.62,0.55,8.48,DMA,3.40812007,269.469386
Grenada,2124.010202358629,124.4190076695431,12.1165,-61.679,,112523,32,817.6106218284261,-0.25,0.31,0.38,8.04,GRD,2.16904519,213.4940781
Mozambique,9.56633622280413,0.9278386303054172,-18.665695,35.529562,,31255435,18,25.371587373523997,-0.87,-1.04,-0.78,6.14,MOZ,2.70240725,10.24564935
Belize,399.871236432042,45.26844186023117,13.1939,-59.5432,66.67,397628,25,1425.9559185972819,-0.59,-0.82,-0.14,7.37,BLZ,4.06011333,201.37145980000003
Laos,36.83565251334605,2.6114828274387127,19.85627,102.495496,52.38,7275560,24,177.0310464074243,-0.67,-0.84,-0.98,6.2,LAO,0.76494844,17.88978896
Libya,53.41062495961458,6.985585825780654,26.3351,17.228331,,6871292,29,92.26794611551946,-1.85,-1.79,-1.55,4.98,LBY,nan,nan
Guinea-Bissau,226.62590110472505,21.849582393504882,11.8037,-15.1804,,1968001,19,762.194734657147,-1.49,-1.23,-1.53,5.97,GNB,2.69496102,17.28201058
Burma,10.03495693790457,1.3600491088002529,21.9162,95.956,80.95,54409800,29,59.47457994699484,-1.07,-1.03,-0.59,4.81,MMR,1.02208923,12.47704064
Botswana,58.682775797352214,5.52808757511289,-22.3285,24.6849,100.0,2351627,24,1463.2422573818042,0.33,0.47,0.75,6.81,BWA,3.05569285,212.49957719999998
Malawi,6.534255809946622,0.8363847436731676,-13.254307999999998,34.301525,59.52,19129952,18,17.929997942493532,-0.73,-0.38,-0.74,6.68,MWI,2.75722454,8.29870411
